GEO.id;GEO.id2;GEOdisplaylabel;Total;Male_Total;Female_Total;Diference;prop_dec;prop_perc;CAT1;CAT2
0500000US01001;1001;Autauga County, Alabama;26836;37780;20627;17153;0.55;54.60%;60;0.6
0500000US01003;1003;Baldwin County, Alabama;25961;32453;20700;11753;0.64;63.80%;80;0.6
0500000US01005;1005;Barbour County, Alabama;17498;20816;15699;5117;0.75;75.40%;80;0.8
0500000US01007;1007;Bibb County, Alabama;21190;26368;16568;9800;0.63;62.80%;80;0.6
0500000US01009;1009;Blount County, Alabama;25143;31289;19715;11574;0.63;63.00%;80;0.6
0500000US01011;1011;Bullock County, Alabama;17657;22758;13408;9350;0.59;58.90%;60;0.6
0500000US01013;1013;Butler County, Alabama;19658;25616;16760;8856;0.65;65.40%;80;0.7
0500000US01015;1015;Calhoun County, Alabama;21288;27898;16527;11371;0.59;59.20%;60;0.6
0500000US01017;1017;Chambers County, Alabama;21105;25629;17030;8599;0.66;66.40%;80;0.7
0500000US01019;1019;Cherokee County, Alabama;21159;27597;16500;11097;0.6;59.80%;60;0.6
0500000US01021;1021;Chilton County, Alabama;23507;29748;17103;12645;0.57;57.50%;60;0.6
0500000US01023;1023;Choctaw County, Alabama;17760;27088;13728;13360;0.51;50.70%;60;0.5
0500000US01025;1025;Clarke County, Alabama;20261;30506;14466;16040;0.47;47.40%;60;0.5
0500000US01027;1027;Clay County, Alabama;20852;26434;15078;11356;0.57;57.00%;60;0.6
0500000US01029;1029;Cleburne County, Alabama;19865;24878;15627;9251;0.63;62.80%;80;0.6
0500000US01031;1031;Coffee County, Alabama;24138;32337;17167;15170;0.53;53.10%;60;0.5
0500000US01033;1033;Colbert County, Alabama;22646;30928;17559;13369;0.57;56.80%;60;0.6
0500000US01035;1035;Conecuh County, Alabama;16515;20527;14461;6066;0.7;70.40%;80;0.7
0500000US01037;1037;Coosa County, Alabama;17110;21982;14563;7419;0.66;66.20%;80;0.7
0500000US01039;1039;Covington County, Alabama;21209;28498;16089;12409;0.56;56.50%;60;0.6
0500000US01041;1041;Crenshaw County, Alabama;20670;27003;15837;11166;0.59;58.60%;60;0.6
0500000US01043;1043;Cullman County, Alabama;22352;28029;17378;10651;0.62;62.00%;80;0.6
0500000US01045;1045;Dale County, Alabama;22922;31719;17069;14650;0.54;53.80%;60;0.5
0500000US01047;1047;Dallas County, Alabama;17272;21276;14231;7045;0.67;66.90%;80;0.7
0500000US01049;1049;DeKalb County, Alabama;20342;26364;14986;11378;0.57;56.80%;60;0.6
